,movieId,title,genres,year
17997,89745,"Avengers, The (2012)",Action|Adventure|Sci-Fi|IMAX,2012
18427,91483,Bullet to the Head (2012),Action|Crime|Film-Noir,2012
18428,91485,"Expendables 2, The (2012)",Action|Adventure,2012
18433,91500,The Hunger Games (2012),Action|Adventure|Drama|Sci-Fi|Thriller,2012
18441,91529,"Dark Knight Rises, The (2012)",Action|Adventure|Crime|IMAX,2012
18444,91535,"Bourne Legacy, The (2012)",Action|Adventure|Drama|Thriller|IMAX,2012
18529,91831,"Devil Inside, The (2012)",Horror|Thriller,2012
18532,91842,Contraband (2012),Action|Crime|Drama|Thriller,2012
18543,91873,Joyful Noise (2012),Comedy|Musical,2012
18565,91937,Loosies (2012),Comedy|Drama|Romance,2012
18573,91974,Underworld: Awakening (2012),Action|Fantasy|Horror|IMAX,2012
18574,91976,"Grey, The (2012)",Action|Drama,2012
18575,91978,Man on a Ledge (2012),Crime|Thriller,2012
18649,92234,Red Tails (2012),Action|Adventure|Drama|War,2012
18660,92264,One for the Money (2012),Action|Comedy|Crime,2012
18670,92335,Big Miracle (2012),Drama|Romance,2012
18692,92420,Chronicle (2012),Action|Sci-Fi|Thriller,2012
18693,92422,"Woman in Black, The (2012)",Drama|Horror|Thriller,2012
18717,92507,Safe House (2012),Action|Crime|Mystery|Thriller,2012
18718,92509,"Vow, The (2012)",Drama|Romance,2012
18744,92665,"For a Good Time, Call... (2012)",Comedy|Drama|Romance,2012
18749,92681,Journey 2: The Mysterious Island (2012),Action|Adventure|Comedy|Sci-Fi|IMAX,2012
18761,92719,Tim and Eric's Billion Dollar Movie (2012),Comedy,2012
18806,92938,Ghost Rider: Spirit of Vengeance (2012),Action|Fantasy|Thriller,2012
18821,93014,Perifery (Härmä) (2012),Drama,2012
18857,93210,"Life of Another, The (La vie d'une autre) (2012)",Comedy|Drama|Mystery,2012
18861,93242,Gone (2012),Drama|Thriller,2012
18865,93270,Project X (2012),Comedy,2012
18866,93272,Dr. Seuss' The Lorax (2012),Animation|Fantasy|Musical|IMAX,2012
18872,93297,Act of Valor (2012),Action|Thriller|War,2012
18876,93326,This Means War (2012),Action|Comedy|Romance,2012
18883,93363,John Carter (2012),Action|Adventure|Sci-Fi|IMAX,2012
18884,93365,Canned Dreams (Säilöttyjä unelmia) (2012),Documentary,2012
18919,93498,Game Change (2012),Drama,2012
18923,93510,21 Jump Street (2012),Action|Comedy|Crime,2012
18924,93512,"Jeff, Who Lives at Home (2012)",Comedy|Drama,2012
18936,93563,Lockout (2012),Action|Sci-Fi|Thriller,2012
18961,93693,Casa de mi Padre (2012),Comedy,2012
18979,93752,Saving Face (2012),Documentary|Drama,2012
18981,93764,Meeting Evil (2012),Crime|Drama|Mystery|Thriller,2012
18982,93766,Wrath of the Titans (2012),Action|Adventure|Fantasy|IMAX,2012
18983,93768,Bending the Rules (2012),Action|Drama,2012
18992,93805,Iron Sky (2012),Action|Comedy|Sci-Fi,2012
