,movieId,title,genres,year
27548,122888,Ben-hur (2016),(no genres listed),2016
27549,122890,Warcraft (2016),Action|Adventure|Fantasy,2016
27551,122894,Avatar 2 (2016),Action|Adventure|Fantasy,2016
27556,122904,Deadpool (2016),Action|Adventure|Comedy|Sci-Fi,2016
27562,122920,Captain America: Civil War (2016),Action|Sci-Fi|Thriller,2016
27563,122922,Doctor Strange (2016),Action|Adventure|Sci-Fi,2016
27564,122924,X-Men: Apocalypse (2016),Action|Adventure|Fantasy|Sci-Fi,2016
32403,135141,Allegiant: Part 1 (2016),Adventure|Sci-Fi,2016
32404,135143,Fantastic Beasts and Where to Find Them (2016),Fantasy,2016
32522,135436,The Secret Life of Pets (2016),Animation|Comedy,2016
32565,135530,Criminal (2016),Action|Crime|Drama|Sci-Fi,2016
32568,135536,Suicide Squad (2016),Action|Crime|Sci-Fi,2016
32582,135567,Independence Day: Resurgence (2016),Action|Adventure|Sci-Fi,2016
32583,135569,Star Trek Beyond (2016),Action|Adventure|Sci-Fi,2016
33122,136818,Silent Retreat (2016),Horror|Mystery|Thriller,2016
33143,136864,Batman v Superman: Dawn of Justice (2016),Action|Adventure|Fantasy|Sci-Fi,2016
33551,137857,The Jungle Book (2016),Adventure|Drama|Fantasy,2016
33688,138210,13 Hours (2016),Drama,2016
33689,138212,Spectral (2016),(no genres listed),2016
34369,139857,Colonia (2016),Thriller,2016
34934,141131,Guardians (2016),(no genres listed),2016
35415,142222,Demolition (2016),Drama,2016
35910,143359,Sly Cooper (2016),Action|Adventure|Animation|Children|Comedy,2016
35911,143361,Iron Sky the Coming Race (2016),Action|Comedy|Fantasy|Sci-Fi,2016
35912,143363,Salt and Fire (2016),Thriller,2016
35913,143365,The Circle (2016),Drama|Sci-Fi|Thriller,2016
35914,143367,Silence (2016),Drama|Thriller,2016
36126,143859,"Hail, Caesar! (2016)",Comedy,2016
37937,148172,The 5th Wave (2016),Adventure|Sci-Fi|Thriller,2016
38151,148727,Tumbledown (2016),Comedy|Romance,2016
38218,148888,Zoolander 2 (2016),Comedy,2016
38249,148956,How to Be Single (2016),Comedy|Romance,2016
38339,149186,Fifty Shades of Black (2016),Comedy|Romance,2016
38417,149406,Kung Fu Panda 3 (2016),Action|Adventure|Animation,2016
38506,149590,Standoff (2016),Thriller,2016
38620,149830,Pride and Prejudice and Zombies (2016),Comedy|Horror|Romance|Thriller,2016
38754,150194,Quo vado? (2016),Comedy,2016
38796,150294,The Forest (2016),Horror|Thriller,2016
38874,150548,Sherlock: The Abominable Bride (2016),Action|Crime|Drama|Mystery|Thriller,2016
38900,150602,Band of Robbers (2016),Adventure|Comedy|Crime|Thriller,2016
38947,150724,Army Dog (2016),(no genres listed),2016
38967,150774,The Correspondence (2016),Drama|Romance,2016
38997,150848,The Confines (2016),Horror|Mystery|Thriller,2016
39162,151309,Michael Jackson's Journey from Motown to Off the Wall (2016),Documentary,2016
39163,151311,Wiener-Dog (2016),Comedy,2016
39164,151313,Norm of the North (2016),Adventure|Animation|Children|Comedy,2016
39165,151315,Ride Along 2 (2016),Action|Comedy,2016
39167,151319,Notias (2016),Comedy|Drama,2016
39174,151345,Batman: Bad Blood (2016),Animation,2016
39215,151455,Eddie the Eagle (2016),Comedy,2016
39217,151459,Airlift (2016),Drama|Thriller,2016
39218,151461,Fitoor (2016),(no genres listed),2016
39238,151501,Exposed (2016),Drama,2016
39279,151593,Martyrs (2016),(no genres listed),2016
39285,151605,Lo and Behold: Reveries of the Connected World (2016),Documentary,2016
39287,151609,Kill Kane (2016),Crime|Thriller,2016
39298,151631,Jättiläinen (2016),Drama,2016
39302,151639,The Boy (2016),Horror|Thriller,2016
39305,151645,JeruZalem (2016),Horror,2016
39320,151675,Lazer Team (2016),Comedy|Sci-Fi,2016
39326,151687,Risen (2016),Children|Drama,2016
39335,151707,The Eagle Huntress (2016),Adventure|Children|Documentary,2016
39338,151715,The White Knights (2016),Drama,2016
39339,151717,Long Way North (2016),Adventure|Animation,2016
39348,151735,The Other Side of the Door (2016),Horror,2016
39350,151739,Dirty Grandpa (2016),Comedy,2016
39352,151743,Toni Braxton: Unbreak My Heart (2016),Drama,2016
39368,151777,The Finest Hours (2016),Drama|Thriller,2016
39423,151933,The Birth of a Nation (2016),Drama,2016
39463,152017,Me Before You (2016),Drama|Romance,2016
39464,152019,Jarhead 3: The Siege (2016),Action|Drama,2016
39466,152025,SOMM: Into the Bottle (2016),Documentary,2016
39469,152031,Space Cop (2016),Action|Comedy|Sci-Fi,2016
39472,152037,Grease Live (2016),(no genres listed),2016
39481,152055,Pandemic (2016),Action,2016
39482,152057,Miles Ahead (2016),Drama,2016
39483,152059,"Crouching Tiger, Hidden Dragon: Sword of Destiny (2016)",Action|Adventure|Drama,2016
39484,152061,Triple 9 (2016),Crime|Drama,2016
39485,152063,Gods of Egypt (2016),Adventure|Fantasy,2016
39486,152065,Embrace of the Serpent (2016),Adventure|Drama,2016
39487,152067,Neerja (2016),Drama,2016
39488,152069,Busco Novio Para Mi Mujer (2016),Comedy,2016
39489,152071,Race (2016),Drama,2016
39490,152073,Providence (2016),Drama|Romance,2016
39492,152077,10 Cloverfield Lane (2016),Thriller,2016
39493,152079,London Has Fallen (2016),Action|Crime|Thriller,2016
39494,152081,Zootopia (2016),Action|Adventure|Animation|Children|Comedy,2016
39495,152083,Whiskey Tango Foxtrot (2016),Comedy|War,2016
39496,152085,Desierto (2016),Drama,2016
39497,152087,The Young Messiah (2016),Drama,2016
39498,152089,The Perfect Match (2016),Comedy|Romance,2016
39499,152091,The Brothers Grimsby (2016),Comedy,2016
39505,152103,Home Invasion (2016),Thriller,2016
39545,152192,Nannaku Prematho (2016),Action|Romance,2016
39563,152228,Misconduct (2016),Drama|Thriller,2016
39564,152230,"First, the Last, The (Les premiers les derniers) (2016)",(no genres listed),2016
39573,152248,Rosalie Blum (2016),Comedy,2016
39588,152284,War and Peace (2016),Drama|Romance,2016
39625,152372,Southbound (2016),Horror,2016
39686,152515,Cabin Fever (2016),Horror,2016
39689,152521,Becoming Zlatan (2016),Documentary,2016
39697,152545,The Commune (2016),Drama,2016
39698,152547,Love Records (2016),Comedy|Drama,2016
39751,152660,Мафия (2016),(no genres listed),2016
39759,152678,A Sunday Horse (2016),Children|Drama,2016
39763,152689,Mastizaade (2016),Comedy|Romance,2016
39803,152782,Jim: The James Foley Story (2016),Documentary,2016
39826,152838,The Veil (2016),Horror,2016
39831,152848,Pitbull. New Order (2016),Comedy|Crime|Drama,2016
39838,152862,L'abbiamo fatta grossa (2016),Comedy,2016
39888,152970,Hunt for the Wilderpeople (2016),Adventure|Comedy,2016
39891,152976,Forsaken (2016),Drama|Western,2016
40082,153364,Natsamrat (2016),Drama,2016
40258,153744,Takaisin pintaan (2016),(no genres listed),2016
40289,153808,Boris Without Beatrice (2016),Drama,2016
40291,153812,Depth Two (2016),(no genres listed),2016
40292,153814,Hotel Dallas (2016),(no genres listed),2016
40294,153818,Lily Lane (2016),(no genres listed),2016
40302,153834,Mammal (2016),Drama,2016
40363,153959,4th Man Out (2016),Comedy,2016
40400,154051,The Last Man on the Moon (2016),Documentary|Drama,2016
40404,154065,Dad's Army (2016),Comedy,2016
40443,154182,Conspiracy Encounters (2016),Sci-Fi,2016
40486,154268,Open Season: Scared Silly (2016),Adventure|Animation|Comedy,2016
40488,154272,Becoming Mike Nichols (2016),Documentary,2016
40489,154274,Homegrown: The Counter-Terror Dilemma (2016),Documentary,2016
40490,154276,Aligarh (2016),Drama,2016
40759,154858,Kaili Blues (2016),(no genres listed),2016
40760,154860,Mother (2016),(no genres listed),2016
40799,154939,The Mermaid (2016),Comedy|Fantasy|Romance|Sci-Fi,2016
40813,154975,Merci Patron ! (2016),Comedy|Documentary,2016
40846,155060,Belgica (2016),Drama,2016
40848,155064,The Neon Demon (2016),Drama|Horror|Mystery,2016
40852,155072,Take Me to the River (2016),Drama,2016
40853,155074,Evolution (2016),Drama,2016
40855,155078,Lo chiamavano Jeeg Robot (2016),Fantasy,2016
40879,155129,Hot Bot (2016),(no genres listed),2016
40902,155181,Elvis & Nixon (2016),Comedy,2016
40913,155245,The Patriarch (2016),(no genres listed),2016
40924,155288,Eye in the Sky (2016),Drama|Thriller|War,2016
40935,155358,Camino (2016),Action|Adventure|Thriller,2016
40936,155360,Road Games (2016),Thriller,2016
40939,155366,Monster High: Great Scarrier Reef (2016),Animation|Children,2016
40941,155370,You Are Not Alone (2016),Horror|Thriller,2016
40943,155374,Yosemite (2016),Drama,2016
40944,155376,Weaponized (2016),Action|Sci-Fi|Thriller,2016
40948,155384,Always Be My Maybe (2016),Comedy|Romance,2016
40951,155392,"Hello, My Name Is Doris (2016)",Drama,2016
40957,155405,Mellow Mud (2016),Drama,2016
41001,155509,Mr. Right (2016),Action|Comedy|Romance,2016
41013,155545,Backtrack (2016),Mystery|Thriller,2016
41026,155573,Sethupathi (2016),Action|Drama|Romance,2016
41030,155581,Pee-wee's Big Holiday (2016),Adventure|Comedy,2016
41031,155583,Miracles from Heaven (2016),Drama,2016
41036,155595,The Confirmation (2016),Comedy,2016
41038,155599,The Daughter (2016),Drama,2016
41051,155625,Under the Shadow (2016),Horror|Thriller,2016
41061,155650,Little Dead Rotting Hood (2016),Fantasy|Horror|Romance,2016
41064,155656,Showdown In Manila (2016),(no genres listed),2016
41065,155659,Florence Foster Jenkins (2016),Comedy|Drama,2016
41071,155673,La Vache (2016),Comedy,2016
41105,155743,My Big Fat Greek Wedding 2 (2016),Comedy,2016
41112,155758,Irudhi Suttru (2016),Action|Drama,2016
41118,155770,In the Last Days of the City (2016),(no genres listed),2016
41126,155798,Hannibal Buress: Comedy Camisado (2016),Comedy,2016
41127,155800,Jimmy Carr: Funny Business (2016),Comedy,2016
41133,155812,Get a Job (2016),Comedy,2016
41137,155820,Keanu (2016),Comedy,2016
41142,155830,White Girl (2016),Drama,2016
41149,155846,War on Everyone (2016),Comedy,2016
41163,155874,Love & Friendship (2016),Drama|Romance,2016
41200,155966,Elections Day 2 (2016),Comedy,2016
41201,155968,The Night Manager (2016),Crime|Drama|Mystery|Thriller,2016
41202,155970,They're Watching (2016),Comedy|Horror|Thriller,2016
41217,156000,Justice League vs. Teen Titans (2016),Action|Animation,2016
41224,156025,Ice Age: The Great Egg-Scapade (2016),Adventure|Animation|Children|Comedy,2016
41349,156369,Zero Days (2016),Documentary,2016
41350,156371,Everybody Wants Some (2016),Comedy,2016
41358,156387,Sing Street (2016),Drama,2016
41456,156607,The Huntsman Winter's War (2016),Action|Adventure|Drama|Fantasy,2016
41457,156609,Neighbors 2: Sorority Rising (2016),Comedy,2016
41501,156706,The Trust (2016),Crime|Thriller,2016
41506,156718,Interrogation (2016),Drama|Thriller,2016
41510,156726,Hush (2016),Thriller,2016
41522,156755,Things to Come (2016),Drama,2016
41550,156819,Confirmation (2016),Drama,2016
41583,156903,The Waiting (2016),Thriller,2016
41607,156960,The Cheerleader Murders (2016),Thriller,2016
41611,156968,City of Gold (2016),Documentary,2016
41646,157055,Uncaged (2016),Comedy|Horror|Thriller,2016
41671,157106,Fan (2016),Action|Drama|Thriller,2016
41679,157122,The Man Who Knew Infinity (2016),Drama,2016
41683,157130,Despite the Falling Snow (2016),Drama|Romance|Thriller,2016
41687,157138,Folk Hero & Funny Guy (2016),Comedy,2016
41688,157140,Dreamland (2016),Comedy|Drama|Romance,2016
41689,157142,Dean (2016),Comedy,2016
