movieId,count,title,genres,year,rating
111781,3954,Mission: Impossible - Rogue Nation (2015),Action|Adventure|Thriller,2015,3.608750632271118
113345,1733,Jupiter Ascending (2015),Action|Adventure|Sci-Fi,2015,2.6604154645124063
115713,11667,Ex Machina (2015),Drama|Sci-Fi|Thriller,2015,3.955001285677552
117466,522,In the Heart of the Sea (2015),Action|Adventure|Drama,2015,3.3400383141762453
117529,5501,Jurassic World (2015),Action|Adventure|Drama|Sci-Fi|Thriller,2015,3.352754044719142
117895,1826,Maze Runner: Scorch Trials (2015),Action|Thriller,2015,3.205366922234392
118706,167,Black Sea (2015),Adventure|Mystery|Thriller,2015,3.059880239520958
119145,8923,Kingsman: The Secret Service (2015),Action|Adventure|Comedy|Crime,2015,3.8067354028914044
120466,2662,Chappie (2015),Action|Thriller,2015,3.3996994740796396
120635,1181,Taken 3 (2015),Action|Crime|Thriller,2015,3.0004233700254024
120637,313,Blackhat (2015),Action|Crime|Drama|Mystery|Thriller,2015,2.741214057507987
120799,2099,Terminator Genisys (2015),Action|Adventure|Sci-Fi|Thriller,2015,3.0647927584564076
120825,157,The Woman in Black 2: Angel of Death (2015),Drama|Horror|Thriller,2015,2.713375796178344
122882,12983,Mad Max: Fury Road (2015),Action|Adventure|Sci-Fi|Thriller,2015,3.8298929369175077
122884,430,Insidious: Chapter 3 (2015),Fantasy|Horror|Thriller,2015,3.181395348837209
122886,12747,Star Wars: Episode VII - The Force Awakens (2015),Action|Adventure|Fantasy|Sci-Fi|IMAX,2015,3.794736016317565
122892,7331,Avengers: Age of Ultron (2015),Action|Adventure|Sci-Fi,2015,3.588187150456964
122900,5806,Ant-Man (2015),Action|Adventure|Sci-Fi,2015,3.5904236996210814
122902,1116,Fantastic Four (2015),Action|Adventure|Fantasy|Sci-Fi,2015,2.2096774193548385
124867,148,Justice League: Throne of Atlantis (2015),Action|Animation,2015,3.1486486486486487
125543,18,Against The Sun (2015),Adventure,2015,2.7777777777777777
125914,368,Mortdecai (2015),Adventure|Comedy|Mystery|Romance,2015,2.8002717391304346
125916,1393,Fifty Shades of Grey (2015),Drama|Romance,2015,2.0168700646087583
126420,35,American Heist (2015),Action,2015,2.2285714285714286
126482,64,Strange Magic (2015),Animation|Children|Fantasy|Musical,2015,3.09375
126548,808,The DUFF (2015),Comedy,2015,3.3582920792079207
127096,589,Project Almanac (2015),Sci-Fi|Thriller,2015,3.263157894736842
127098,1281,Louis C.K.: Live at The Comedy Store (2015),Comedy,2015,3.9547228727556596
127108,1140,Brooklyn (2015),Drama|Romance,2015,3.7837719298245616
127110,54,Digging for Fire (2015),Drama,2015,2.759259259259259
127112,31,Don Verdean (2015),Comedy,2015,3.064516129032258
127114,333,The End of the Tour (2015),Drama,2015,3.714714714714715
127116,211,Experimenter (2015),Drama,2015,3.419431279620853
127118,20,I Am Michael (2015),Drama,2015,2.85
127120,33,Lila & Eve (2015),Drama|Thriller,2015,2.909090909090909
127122,20,Last Days in the Desert (2015),Adventure|Drama,2015,2.9
127124,56,I'll See You in My Dreams (2015),Comedy|Drama,2015,3.330357142857143
127128,114,Mississippi Grind (2015),Drama,2015,3.3771929824561404
127130,241,Mistress America (2015),Comedy,2015,3.4460580912863072
127132,20,Zipper (2015),Drama|Thriller,2015,2.875
127134,127,A Walk in the Woods (2015),Adventure|Comedy|Drama,2015,3.2401574803149606
127136,226,True Story (2015),Drama|Mystery|Thriller,2015,3.185840707964602
127138,26,Ten Thousand Saints (2015),Comedy|Drama,2015,2.769230769230769
127140,221,Sleeping with Other People (2015),Comedy|Drama|Romance,2015,3.3665158371040724
127144,51,Drunk Stoned Brilliant Dead: The Story of the National Lampoon (2015),Comedy|Documentary,2015,3.2745098039215685
127146,250,Kurt Cobain: Montage of Heck (2015),Documentary,2015,3.596
127148,51,The Hunting Ground (2015),Documentary,2015,3.5588235294117645
127152,857,Going Clear: Scientology and the Prison of Belief (2015),Documentary,2015,3.882730455075846
127154,25,The Mask You Live In (2015),Documentary,2015,3.86
127156,32,Prophet's Prey (2015),Crime|Documentary,2015,3.59375
127158,47,Tig (2015),Documentary,2015,3.4361702127659575
127164,113,"What Happened, Miss Simone? (2015)",Documentary,2015,3.743362831858407
127188,79,Advantageous (2015),Children|Drama|Sci-Fi,2015,3.4177215189873418
127192,54,The Bronze (2015),Comedy|Drama,2015,3.0462962962962963
127194,34,The D Train (2015),Comedy,2015,2.838235294117647
127196,224,The Diary of a Teenage Girl (2015),Drama,2015,3.5736607142857144
127198,814,Dope (2015),Comedy|Drama,2015,3.6584766584766584
127200,39,I Smile Back (2015),Drama,2015,2.8974358974358974
127202,1597,Me and Earl and the Dying Girl (2015),Drama,2015,3.8700688791484033
127204,118,The Overnight (2015),Comedy,2015,3.1059322033898304
127206,109,"People, Places, Things (2015)",Comedy,2015,3.467889908256881
127208,74,Results (2015),Comedy|Romance,2015,2.918918918918919
127212,204,The Stanford Prison Experiment (2015),Drama|Thriller,2015,3.519607843137255
127216,32,Unexpected (2015),Comedy|Drama,2015,2.75
127218,144,Z for Zachariah (2015),Sci-Fi,2015,3.0416666666666665
127311,32,The Forbidden Room (2015),Comedy|Drama|Mystery|Romance,2015,3.375
127323,83,Vice (2015),Action|Adventure|Sci-Fi|Thriller,2015,2.5481927710843375
127583,19,Chuck Norris vs Communism (2015),Documentary,2015,3.6842105263157894
127610,11,Average Italian (2015),Comedy,2015,3.727272727272727
128360,5297,The Hateful Eight (2015),Western,2015,3.85161412120068
128488,223,Wild Card (2015),Action|Crime|Drama|Thriller,2015,2.975336322869955
128512,750,Paper Towns (2015),Drama|Mystery|Romance,2015,3.198
128520,380,The Wedding Ringer (2015),Comedy,2015,3.346052631578947
128542,84,Wyrmwood (2015),Action|Horror|Sci-Fi,2015,3.0476190476190474
128592,101,The Boy Next Door (2015),Mystery|Thriller,2015,2.5742574257425743
128594,69,Boy Meets Girl (2015),Comedy|Drama|Romance,2015,3.391304347826087
128604,134,Knight of Cups (2015),Drama,2015,3.082089552238806
128606,223,45 Years (2015),Drama,2015,3.4708520179372195
128608,25,Diary of a Chambermaid (2015),Drama,2015,2.4
128610,24,Ixcanul Volcano (2015),(no genres listed),2015,3.5833333333333335
128620,480,Victoria (2015),Crime|Drama|Romance,2015,3.8125
128632,57,Home Sweet Hell (2015),Comedy|Drama,2015,2.4649122807017543
128727,14,Bizarre (2015),(no genres listed),2015,2.4285714285714284
128838,981,Crimson Peak (2015),Horror,2015,3.245158002038736
128842,34,Dragonheart 3: The Sorcerer's Curse (2015),Action|Adventure|Fantasy,2015,2.1911764705882355
128975,340,Hot Tub Time Machine 2 (2015),Comedy|Sci-Fi,2015,2.6058823529411765
129030,26,The Coven (2015),Fantasy|Horror,2015,2.1153846153846154
129078,28,Tokyo Fiancée (2015),(no genres listed),2015,3.1964285714285716
129250,40,Superfast! (2015),(no genres listed),2015,2.2
129354,1921,Focus (2015),Comedy|Crime|Drama|Romance,2015,3.49583550234253
129364,20,Every Thing Will Be Fine (2015),Drama,2015,3.225
129370,206,"SpongeBob Movie: Sponge Out of Water, The (2015)",Adventure|Animation|Children|Comedy,2015,2.9029126213592233
129372,62,Demonic (2015),Horror|Thriller,2015,2.653225806451613
129428,265,The Second Best Exotic Marigold Hotel (2015),Comedy|Drama,2015,3.409433962264151
129657,92,Tracers (2015),Action,2015,2.755434782608696
129659,285,"McFarland, USA (2015)",Drama,2015,3.8105263157894735
129675,16,Wolf Totem (2015),Adventure,2015,3.3125
129707,192,The Lazarus Effect (2015),Horror|Thriller,2015,2.5911458333333335
129737,123,Unfinished Business (2015),Comedy,2015,2.8577235772357725
129820,52,Spare Parts (2015),Drama,2015,3.7403846153846154
129822,13,Bikes vs Cars (2015),Documentary,2015,3.076923076923077
129826,16,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League (2015),Action|Adventure|Animation|Children,2015,2.3125
129853,13,To Write Love on Her Arms (2015),Drama,2015,3.5
129937,604,Run All Night (2015),Action|Crime|Drama|Thriller,2015,3.1754966887417218
130069,15,Road Hard (2015),Comedy,2015,2.7333333333333334
130073,1140,Cinderella (2015),Children|Drama|Fantasy|Romance,2015,3.3570175438596492
130075,243,Frozen Fever (2015),Adventure|Animation,2015,3.125514403292181
130083,80,Kidnapping Mr. Heineken (2015),Action|Crime|Drama|Thriller,2015,2.75
130087,263,The Cobbler (2015),Comedy|Drama|Fantasy,2015,2.8840304182509504
130374,25,India's Daughter (2015),Documentary,2015,3.98
130448,327,Poltergeist (2015),Horror|Thriller,2015,2.646788990825688
130450,325,Pan (2015),Adventure|Children|Fantasy,2015,2.835384615384615
130462,34,The Boy (2015),Drama|Horror|Thriller,2015,2.838235294117647
130474,76,Suite Française (2015),Drama|Romance|War,2015,3.5921052631578947
130490,2189,Insurgent (2015),Action|Sci-Fi|Thriller,2015,3.1761078117862036
130492,56,Dum Laga Ke Haisha (2015),Children|Comedy|Romance,2015,3.517857142857143
130520,1064,Home (2015),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,2015,3.3031015037593985
130576,655,Midnight Special (2015),Drama|Sci-Fi,2015,3.2908396946564884
130578,137,"Gunman, The (2015)",Action|Thriller,2015,2.9708029197080292
130618,58,Baby (2015),Action|Crime|Mystery|Thriller,2015,3.603448275862069
130634,2332,Furious 7 (2015),Action|Crime|Thriller,2015,3.3962264150943398
130684,145,We Are Still Here (2015),Horror,2015,2.9551724137931035
130686,206,The Final Girls (2015),Comedy|Horror,2015,3.349514563106796
130840,233,Spring (2015),Horror|Romance|Sci-Fi,2015,3.504291845493562
130842,64,Power/Rangers (2015),Action|Adventure|Sci-Fi,2015,3.421875
130956,195,Child 44 (2015),Crime|Thriller,2015,3.0076923076923077
131013,933,Get Hard (2015),Comedy|Crime,2015,3.1216505894962485
131017,39,Aziz Ansari: Live at Madison Square Garden (2015),Comedy,2015,3.282051282051282
131019,14,The Intruders (2015),Thriller,2015,2.607142857142857
131170,132,Parallels (2015),Sci-Fi|Thriller,2015,3.087121212121212
131180,24,Dead Rising: Watchtower (2015),Action|Horror|Thriller,2015,2.3541666666666665
131448,21,Walter (2015),Comedy|Drama,2015,2.9285714285714284
131451,49,The Atticus Institute (2015),Horror,2015,3.142857142857143
131570,20,The Humbling (2015),Comedy|Drama,2015,2.5
131656,398,Shaun the Sheep Movie (2015),Adventure|Animation|Children|Comedy,2015,3.4949748743718594
131714,207,Last Knights (2015),Action|Adventure,2015,3.135265700483092
131724,937,The Jinx: The Life and Deaths of Robert Durst (2015),Documentary,2015,4.104589114194237
131739,144,Batman vs. Robin (2015),Action|Adventure|Animation,2015,3.3506944444444446
131796,390,Woman in Gold (2015),Drama,2015,3.682051282051282
131820,20,Echoes (2015),Horror,2015,2.375
131826,41,Iliza Shlesinger: Freezing Hot (2015),Comedy,2015,3.158536585365854
131850,14,Killing Jesus (2015),Drama,2015,2.6785714285714284
132046,1909,Tomorrowland (2015),Action|Adventure|Children|Mystery|Sci-Fi,2015,3.2226296490309063
132128,116,Faults (2015),Drama|Thriller,2015,3.5129310344827585
132136,24,The Barber (2015),Thriller,2015,2.9375
132153,19,Buzzard (2015),Comedy|Drama|Horror,2015,3.3947368421052633
132157,314,Paul Blart: Mall Cop 2 (2015),Action|Comedy|Crime,2015,2.0605095541401273
132159,12,The Reconstruction of William Zero (2015),Drama|Sci-Fi|Thriller,2015,2.6666666666666665
132173,43,Adult Beginners (2015),Comedy,2015,3.2325581395348837
132358,35,N.H 10 (2015),Crime|Drama|Mystery,2015,3.4571428571428573
132418,18,The Marine 4: Moving Target (2015),Action|Thriller,2015,2.5555555555555554
132424,501,The Longest Ride (2015),Drama|Romance,2015,3.6377245508982035
132458,36,Monkey Kingdom (2015),Documentary,2015,3.5416666666666665
132480,1093,The Age of Adaline (2015),Drama|Fantasy|Romance,2015,3.6221408966148214
132492,35,Sinatra: All or Nothing at All (2015),Documentary,2015,3.9571428571428573
132496,149,Danny Collins (2015),Comedy|Drama,2015,3.4194630872483223
132520,12,Bad Hurt (2015),Drama,2015,2.4166666666666665
132547,26,A Girl Like Her (2015),Drama,2015,3.6538461538461537
132549,114,Grandma (2015),(no genres listed),2015,3.473684210526316
132569,55,Comedy Central Roast of Justin Bieber (2015),Comedy,2015,3.209090909090909
132594,34,A Royal Night Out (2015),Drama|Romance|Thriller,2015,3.1176470588235294
132616,24,The Walking Deceased (2015),Comedy|Sci-Fi,2015,2.4375
132656,31,Batman Unlimited: Animal Instincts (2015),Animation,2015,2.2580645161290325
132658,23,When I Live My Life Over Again (2015),Drama,2015,3.1739130434782608
132660,395,Man Up (2015),Comedy|Romance,2015,3.488607594936709
132796,1227,San Andreas (2015),Action|Drama|Thriller,2015,2.850448247758761
132798,138,Regression (2015),Thriller,2015,2.7572463768115942
132906,25,The Man with the Iron Fists 2 (2015),Action,2015,2.28
132961,319,Far from the Madding Crowd (2015),Drama,2015,3.5579937304075235
133129,22,Barbie in Princess Power (2015),Animation|Children,2015,2.2045454545454546
133195,619,Hitman: Agent 47 (2015),Action|Crime|Thriller,2015,3.055735056542811
133217,12,B/W (2015),Comedy|Crime|Sci-Fi,2015,3.7916666666666665
133281,115,Ricki and the Flash (2015),Comedy|Drama,2015,2.8434782608695652
133347,28,Ride (2015),Comedy,2015,3.3214285714285716
133349,19,The Eichmann Show (2015),Drama,2015,3.3947368421052633
133365,15,Partisan (2015),Drama|Thriller,2015,3.033333333333333
133377,154,Infini (2015),Horror|Sci-Fi|Thriller,2015,2.8084415584415585
133389,90,Piku (2015),Comedy|Drama,2015,3.466666666666667
133417,21,Luokkakokous (2015),Comedy,2015,1.7857142857142858
133419,1335,Pitch Perfect 2 (2015),Comedy,2015,3.2872659176029964
133583,27,Bessie (2015),Drama,2015,3.2777777777777777
133602,13,Nightingale (2015),Drama|Mystery|Thriller,2015,3.8846153846153846
133645,900,Carol (2015),Drama|Romance,2015,3.5905555555555555
133647,16,Thought Crimes (2015),Documentary,2015,3.3125
133653,25,Roald Dahl's Esio Trot (2015),Comedy,2015,3.42
133689,28,Pound of Flesh (2015),Action,2015,2.4107142857142856
133710,35,Strangerland (2015),Drama|Thriller,2015,2.9714285714285715
133753,33,Teacher of the Year (2015),Comedy,2015,2.9696969696969697
133771,2345,The Lobster (2015),Comedy|Romance|Sci-Fi,2015,3.628997867803838
133782,158,Maggie (2015),Drama|Horror|Thriller,2015,2.7658227848101267
133798,293,Hot Pursuit (2015),Action|Comedy,2015,2.7781569965870307
133802,306,Slow West (2015),Action|Thriller|Western,2015,3.560457516339869
133824,70,The Human Centipede III (Final Sequence) (2015),Horror,2015,1.5857142857142856
133867,100,Barely Lethal (2015),Action|Adventure|Comedy,2015,2.98
