,movieId,userId,rating,timestamp
0,122910,1073,2.5,2016-04-25 02:02:07
1,122910,76151,5.0,2018-04-01 21:51:51
2,122910,90648,4.5,2016-08-21 22:50:38
3,122910,97877,4.5,2017-01-17 01:58:40
4,122910,98487,1.0,2018-09-01 07:32:17
5,122910,120016,5.0,2017-02-12 17:44:01
6,122910,167391,0.5,2016-09-11 01:55:03
7,122910,185675,0.5,2016-06-09 23:19:56
8,122910,190330,4.0,2016-06-08 20:24:57
9,122910,192928,5.0,2016-01-21 19:45:13
10,122910,202199,1.5,2017-05-21 20:28:42
11,122910,212751,4.5,2015-08-03 04:37:00
12,122910,227911,0.5,2015-06-08 08:18:14
13,122910,234923,0.5,2017-03-27 23:11:16
14,122910,248416,2.0,2017-04-30 02:15:58
15,122910,263545,4.5,2018-08-15 16:04:26
16,122910,279012,0.5,2016-05-23 00:42:20
17,122912,36,1.0,2018-06-18 21:56:05
18,122912,321,4.5,2018-05-10 12:04:16
19,122912,371,5.0,2018-08-06 15:34:24
20,122912,422,5.0,2018-06-24 19:41:50
21,122912,449,4.0,2018-05-10 23:56:46
22,122912,465,3.5,2018-05-16 21:55:33
23,122912,574,4.5,2018-04-28 13:39:18
24,122912,798,2.0,2018-08-01 20:13:41
25,122912,804,5.0,2018-07-02 23:53:38
26,122912,815,2.5,2018-06-24 06:27:30
27,122912,1073,2.5,2016-04-25 02:02:14
28,122912,1089,4.0,2018-05-31 11:42:33
29,122912,1099,3.5,2018-09-09 15:23:34
30,122912,1464,3.0,2018-08-09 06:26:51
31,122912,1547,3.0,2018-06-04 12:34:25
32,122912,2011,4.0,2018-08-15 14:18:54
33,122912,2025,4.0,2018-04-30 01:02:27
34,122912,2064,4.5,2018-06-06 00:25:00
35,122912,2069,4.0,2018-08-02 06:51:31
36,122912,2205,2.5,2018-09-22 16:08:50
37,122912,2230,5.0,2018-08-09 18:32:56
38,122912,2280,2.5,2018-05-21 06:06:11
39,122912,2306,4.5,2018-09-17 18:55:38
40,122912,2422,4.0,2018-09-02 17:35:36
41,122912,2571,4.5,2018-05-06 20:03:21
42,122912,2618,5.0,2018-05-06 14:56:32
43,122912,2745,4.0,2018-04-25 22:38:16
44,122912,2917,5.0,2018-09-19 17:12:43
45,122912,3252,5.0,2018-06-11 01:47:32
46,122912,3364,4.0,2018-07-21 05:47:40
47,122912,3429,4.5,2018-09-05 06:20:30
48,122912,3504,2.5,2018-05-04 06:13:59
49,122912,3759,4.0,2018-05-11 17:27:30
50,122912,3798,5.0,2018-08-04 21:08:04
51,122912,4044,4.0,2018-06-27 12:37:14
52,122912,4048,3.5,2018-06-03 05:54:57
53,122912,4106,4.0,2018-08-26 17:59:04
54,122912,4203,4.5,2018-05-06 20:53:35
55,122912,4226,4.5,2018-05-19 20:31:19
56,122912,4271,1.5,2018-05-15 20:18:54
57,122912,4289,5.0,2018-07-22 22:27:47
58,122912,4302,4.5,2018-06-04 16:42:09
59,122912,4637,4.0,2018-09-15 16:30:12
